No,Images,MIR,MIG,MIB,VHR,VHG,VHB,SER,SEG,SEB
1,01_Airplane_de.bmp,177.58,177.85,190.21,14680.38,14743.99,21390.28,6.717765,6.798979,6.213774
2,02_Baboon_de.bmp,137.39,128.86,113.12,5374.37,6311.38,5329.10,7.706672,7.474432,7.752217
3,03_Lena_de.bmp,180.22,99.05,105.41,8053.96,5860.15,9460.30,7.253102,7.594038,6.968427
4,04_Peppers_de.bmp,149.82,115.57,66.53,7411.05,9054.73,11758.57,7.338827,7.496253,7.058306
5,05_Sailboat_de.bmp,131.01,124.30,114.89,7153.40,6113.67,9463.93,7.312388,7.642854,7.213642
6,06_Splash_de.bmp,176.27,70.49,79.93,13543.48,16126.47,27193.14,6.948061,6.884455,6.126452
